time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-10-01 09:30:00-04:00,DiversifiedLeverage,a2d3938b3d924597b82d832d381f554f,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-01 09:30:00-04:00,DiversifiedLeverage,3633e004e7c74f739edcd32571e27e18,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-01 09:30:00-04:00,DiversifiedLeverage,ea8b6c9a588242fbba7360a8a12e3468,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-01 09:30:00-04:00,DiversifiedLeverage,4ad0a5dfc62a4745b8253a82997e6007,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-01 09:30:00-04:00,DiversifiedLeverage,8e55c972ee5e416786f4cb75be14c496,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-01 09:30:00-04:00,DiversifiedLeverage,5e16aa75496145cb96f21ea93a61a9af,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-01 09:30:00-04:00,DiversifiedLeverage,a2d3938b3d924597b82d832d381f554f,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,72.27999877929688,276.0,99.74639831542969
2024-10-01 09:30:00-04:00,DiversifiedLeverage,3633e004e7c74f739edcd32571e27e18,UPRO,buy,market,fill,1,gtc,0.0,1,stock,85.91000366210938,232.0,99.65560424804687
2024-10-01 09:30:00-04:00,DiversifiedLeverage,ea8b6c9a588242fbba7360a8a12e3468,UDOW,buy,market,fill,1,gtc,0.0,1,stock,95.56999969482422,104.0,49.6963998413086
2024-10-01 09:30:00-04:00,DiversifiedLeverage,4ad0a5dfc62a4745b8253a82997e6007,TMF,buy,market,fill,1,gtc,0.0,1,stock,59.400001525878906,420.0,124.74000320434571
2024-10-01 09:30:00-04:00,DiversifiedLeverage,8e55c972ee5e416786f4cb75be14c496,UGL,buy,market,fill,1,gtc,0.0,1,stock,97.5999984741211,102.0,49.77599922180176
2024-10-01 09:30:00-04:00,DiversifiedLeverage,5e16aa75496145cb96f21ea93a61a9af,DIG,buy,market,fill,1,gtc,0.0,1,stock,38.130001068115234,393.0,74.92545209884643
2024-10-07 09:30:00-04:00,DiversifiedLeverage,83ea65a9127b45b6b19c5a63355d0169,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-07 09:30:00-04:00,DiversifiedLeverage,5870918beaf14d55a5e11a182da7b50c,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-07 09:30:00-04:00,DiversifiedLeverage,5ae8320bf57644c7891f6e0c38c4a6a2,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-07 09:30:00-04:00,DiversifiedLeverage,72d5a86be0884fb8af089aee950d96f0,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-07 09:30:00-04:00,DiversifiedLeverage,8be493a5b7d94fe193e1fcd50ba95fe9,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-07 09:30:00-04:00,DiversifiedLeverage,83ea65a9127b45b6b19c5a63355d0169,UPRO,sell,market,fill,1,gtc,0.0,1,stock,84.7699966430664,1.0,0.423849983215332
2024-10-07 09:30:00-04:00,DiversifiedLeverage,5870918beaf14d55a5e11a182da7b50c,UDOW,sell,market,fill,1,gtc,0.0,1,stock,95.16999816894531,1.0,0.47584999084472657
2024-10-07 09:30:00-04:00,DiversifiedLeverage,5ae8320bf57644c7891f6e0c38c4a6a2,TMF,buy,market,fill,1,gtc,0.0,1,stock,52.70000076293945,45.0,11.857500171661377
2024-10-07 09:30:00-04:00,DiversifiedLeverage,72d5a86be0884fb8af089aee950d96f0,UGL,sell,market,fill,1,gtc,0.0,1,stock,96.94999694824219,1.0,0.48474998474121095
2024-10-07 09:30:00-04:00,DiversifiedLeverage,8be493a5b7d94fe193e1fcd50ba95fe9,DIG,sell,market,fill,1,gtc,0.0,1,stock,43.52000045776367,55.0,11.96800012588501
2024-10-11 09:30:00-04:00,DiversifiedLeverage,2e36308934ef4a378d3ef41f3f633235,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-11 09:30:00-04:00,DiversifiedLeverage,2288b787bf78496a9a66039a76ea75e5,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-11 09:30:00-04:00,DiversifiedLeverage,d7bb7c6a877e477b909cc5fbdff9d215,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-11 09:30:00-04:00,DiversifiedLeverage,5d78f5a81dd343a2861ec42838224d02,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-11 09:30:00-04:00,DiversifiedLeverage,09c9b94d4f524f078c317632b9197085,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-11 09:30:00-04:00,DiversifiedLeverage,8c6db734e2a34475891d3c93f30e7159,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
