Stock,Quantity,Side,Status
AMZN,13,sell,completed
ANF,1,buy,completed
ASTS,13,sell,completed
BMA,189,buy,completed
CAVA,1,buy,completed
CDE,1,buy,completed
CORZ,1,buy,completed
DOMO,13,sell,completed
FTAI,1,buy,completed
FYBR,13,sell,completed
GM,1,buy,completed
GS,189,buy,completed
LUMN,1,buy,completed
MRO,189,buy,completed
MS,13,sell,completed
MSFT,13,sell,completed
MSTR,1,buy,completed
NIO,13,sell,completed
NVDA,1,buy,completed
OSCR,13,sell,completed
SNAP,1,buy,completed
SQ,13,sell,completed
SUN,1,buy,completed
TLN,1,buy,completed
TM,189,buy,completed
WING,1,buy,completed
SHOP,202,sell,completed
PANW,202,sell,completed
AAPL,202,sell,completed
TLRY,202,sell,completed
AAPL,4,buy,completed
AMZN,4,buy,completed
ASTS,4,buy,completed
DOMO,4,buy,completed
FYBR,4,buy,completed
MS,4,buy,completed
MSFT,4,buy,completed
NIO,4,buy,completed
OSCR,4,buy,completed
PANW,4,buy,completed
SHOP,4,buy,completed
SQ,4,buy,completed
TLRY,202,buy,completed
MRO,198,sell,completed
AAPL,198,buy,completed
AMZN,34,sell,completed
ANF,1,sell,completed
ASTS,34,sell,completed
CAVA,1,sell,completed
CDE,1,sell,completed
CORZ,1,sell,completed
DOMO,34,sell,completed
FTAI,1,sell,completed
FYBR,34,sell,completed
GM,1,sell,completed
LUMN,1,sell,completed
MRO,34,sell,completed
MS,34,sell,completed
MSFT,34,sell,completed
MSTR,1,sell,completed
NIO,34,sell,completed
NVDA,1,sell,completed
OSCR,34,sell,completed
PANW,34,sell,completed
SHOP,34,sell,completed
SNAP,1,sell,completed
SQ,34,sell,completed
SUN,1,sell,completed
TLN,1,sell,completed
WING,1,sell,completed
TLRY,232,sell,completed
AMZN,25,buy,completed
ASTS,25,buy,completed
DOMO,25,buy,completed
FYBR,25,buy,completed
MRO,25,buy,completed
MS,25,buy,completed
MSFT,25,buy,completed
NIO,25,buy,completed
OSCR,25,buy,completed
PANW,25,buy,completed
SHOP,232,buy,completed
SQ,25,buy,completed
TLRY,25,buy,completed
AAPL,207,sell,completed
AAPL,6,buy,completed
AMZN,6,buy,completed
ASTS,6,buy,completed
DOMO,6,buy,completed
FYBR,6,buy,completed
MRO,207,buy,completed
MS,6,buy,completed
MSFT,6,buy,completed
NIO,6,buy,completed
OSCR,6,buy,completed
PANW,6,buy,completed
SQ,6,buy,completed
TLRY,6,buy,completed
SHOP,201,sell,completed
AAPL,6,sell,completed
AMZN,6,sell,completed
ASTS,6,sell,completed
DOMO,6,sell,completed
FYBR,6,sell,completed
MS,6,sell,completed
MSFT,6,sell,completed
NIO,6,sell,completed
OSCR,6,sell,completed
PANW,6,sell,completed
SHOP,201,buy,completed
SQ,6,sell,completed
TLRY,6,sell,completed
MRO,207,sell,completed
AAPL,1,buy,completed
AMZN,1,buy,completed
ANF,13,sell,completed
ASTS,1,buy,completed
CAVA,13,sell,completed
CDE,13,sell,completed
CORZ,13,sell,completed
DOMO,1,buy,completed
FTAI,13,sell,completed
FYBR,1,buy,completed
GM,13,sell,completed
LUMN,13,sell,completed
MRO,207,buy,completed
MS,1,buy,completed
MSFT,1,buy,completed
MSTR,531,sell,completed
NIO,1,buy,completed
NVDA,13,sell,completed
OSCR,1,buy,completed
PANW,1,buy,completed
SNAP,13,sell,completed
SQ,1,buy,completed
SUN,531,sell,completed
TLN,13,sell,completed
TLRY,1,buy,completed
WING,13,sell,completed
PI,518,buy,completed
DYN,518,buy,completed
BAC,206,sell,completed
AAPL,57,sell,completed
AMZN,57,sell,completed
ASTS,57,sell,completed
BAC,57,sell,completed
DOMO,57,sell,completed
FYBR,57,sell,completed
MS,57,sell,completed
MSFT,57,sell,completed
NIO,57,sell,completed
OSCR,57,sell,completed
PANW,206,buy,completed
SQ,57,sell,completed
TLRY,57,sell,completed
MRO,263,sell,completed
AAPL,38,buy,completed
AMZN,38,buy,completed
ANF,3,sell,completed
ASTS,38,buy,completed
BAC,263,buy,completed
CAVA,518,sell,completed
CDE,3,sell,completed
CORZ,3,sell,completed
DOMO,263,buy,completed
DYN,3,sell,completed
FTAI,3,sell,completed
FYBR,38,buy,completed
GM,3,sell,completed
LUMN,3,sell,completed
MRO,38,buy,completed
MS,38,buy,completed
MSFT,38,buy,completed
NIO,38,buy,completed
NVDA,3,sell,completed
OSCR,38,buy,completed
PI,3,sell,completed
SNAP,3,sell,completed
SQ,38,buy,completed
TLN,3,sell,completed
TLRY,38,buy,completed
WING,3,sell,completed
MSTR,515,buy,completed
SHOP,225,sell,completed
QCOM,225,sell,completed
AAPL,1,buy,completed
AMZN,1,buy,completed
ANF,31,buy,completed
ASTS,1,buy,completed
CDE,31,buy,completed
CORZ,31,buy,completed
DYN,31,buy,completed
FTAI,31,buy,completed
FYBR,1,buy,completed
GM,31,buy,completed
LUMN,31,buy,completed
MRO,1,buy,completed
MS,1,buy,completed
MSFT,1,buy,completed
MSTR,515,sell,completed
NIO,1,buy,completed
NVDA,31,buy,completed
OSCR,1,buy,completed
PI,31,buy,completed
QCOM,1,buy,completed
SHOP,1,buy,completed
SNAP,31,buy,completed
SQ,1,buy,completed
TLN,31,buy,completed
TLRY,225,buy,completed
WING,31,buy,completed
SUN,546,buy,completed
BBAR,224,sell,"failed: asset ""BBAR"" cannot be sold short"
AAPL,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
MRO,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
AAPL,35,sell,completed
AMZN,35,sell,completed
ANF,37,buy,completed
ASTS,35,sell,completed
CDE,37,buy,completed
CORZ,37,buy,completed
DYN,37,buy,completed
FTAI,37,buy,completed
FYBR,35,sell,completed
GM,37,buy,completed
LUMN,37,buy,completed
MRO,224,buy,completed
MS,35,sell,completed
MSFT,35,sell,completed
NIO,35,sell,completed
NVDA,37,buy,completed
OSCR,35,sell,completed
PI,546,sell,completed
QCOM,224,buy,completed
SHOP,35,sell,completed
SNAP,37,buy,completed
SQ,35,sell,completed
SUN,37,buy,completed
TLN,37,buy,completed
WING,37,buy,completed
MMYT,583,buy,completed
TLRY,259,sell,completed
BBAR,259,sell,"failed: asset ""BBAR"" cannot be sold short"
CGC,259,sell,"failed: asset ""CGC"" cannot be sold short"
TLRY,0,sell,not completed: qty is 0
AAPL,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
